"[run number]","visualization","%-similar-wanted","density","[step]","percent-similar","not happy"
"2","square-x","71","60","0","49.86537425955843","1233"
"3","square-x","72","60","0","51.02040816326531","1292"
"1","square-x","70","60","0","50.17393631255017","1252"
"2","square-x","71","60","1","53.20064550833782","1163"
"3","square-x","72","60","1","53.480691056910565","1201"
"1","square-x","70","60","1","54.163383241397426","1138"
"2","square-x","71","60","2","57.24887357540419","1056"
"3","square-x","72","60","2","55.89373226721692","1137"
"1","square-x","70","60","2","57.34720416124838","1044"
"2","square-x","71","60","3","58.70253164556962","1009"
"3","square-x","72","60","3","57.37955646189141","1083"
"2","square-x","71","60","4","59.99474651956922","976"
"3","square-x","72","60","4","59.362348178137644","1048"
"1","square-x","70","60","3","61.36537969828688","933"
"2","square-x","71","60","5","61.68562564632886","933"
"2","square-x","71","60","6","63.43589743589744","889"
"3","square-x","72","60","5","59.51592356687898","1035"
"3","square-x","72","60","6","61.07214428857716","1013"
"2","square-x","71","60","7","66.9260700389105","800"
"1","square-x","70","60","4","62.70325203252033","908"
"3","square-x","72","60","7","62.971285892634214","957"
"2","square-x","71","60","8","68.94884194451515","718"
"2","square-x","71","60","9","71.64480322906155","666"
"3","square-x","72","60","8","63.758723828514455","925"
"1","square-x","70","60","5","62.808008213552355","893"
"3","square-x","72","60","9","64.87025948103793","894"
"2","square-x","71","60","10","73.43117408906883","614"
"2","square-x","71","60","11","75.13148009015778","582"
"3","square-x","72","60","10","65.77433074806105","876"
"1","square-x","70","60","6","66.32032437911809","804"
"3","square-x","72","60","11","66.36251541307028","858"
"2","square-x","71","60","12","76.56288916562889","558"
"3","square-x","72","60","12","67.54130223517978","841"
"2","square-x","71","60","13","78.76216620913401","495"
"1","square-x","70","60","7","69.04702036711089","757"
"3","square-x","72","60","13","68.516255194329","804"
"2","square-x","71","60","14","82.1578817124474","424"
"2","square-x","71","60","15","83.34965719882467","379"
"3","square-x","72","60","14","70.47079122504314","756"
"3","square-x","72","60","15","71.7948717948718","732"
"1","square-x","70","60","8","70.21065675340769","712"
"2","square-x","71","60","16","85.57504873294347","338"
"3","square-x","72","60","16","74.46757018393029","677"
"2","square-x","71","60","17","86.69879518072288","299"
"3","square-x","72","60","17","75.69377990430623","632"
"2","square-x","71","60","18","87.55354593050927","280"
"1","square-x","70","60","9","73.0295566502463","637"
"3","square-x","72","60","18","77.30732635585157","588"
"2","square-x","71","60","19","88.90990777961693","250"
"3","square-x","72","60","19","77.89349112426035","572"
"2","square-x","71","60","20","90.01413094677343","237"
"3","square-x","72","60","20","78.33926453143535","563"
"2","square-x","71","60","21","90.04461141112937","230"
"1","square-x","70","60","10","75.53111722069482","582"
"2","square-x","71","60","22","90.58988764044943","226"
"3","square-x","72","60","21","78.52237745678427","538"
"2","square-x","71","60","23","92.03049203049203","174"
"3","square-x","72","60","22","79.67977395808806","523"
"2","square-x","71","60","24","94.23611111111111","144"
"3","square-x","72","60","23","80.17261488220201","504"
"2","square-x","71","60","25","94.40366972477065","128"
"3","square-x","72","60","24","80.0140745953554","514"
"1","square-x","70","60","11","78.32320777642771","508"
"3","square-x","72","60","25","83.3140476741495","446"
"2","square-x","71","60","26","94.97695852534562","113"
"3","square-x","72","60","26","84.04427023287987","417"
"2","square-x","71","60","27","95.62841530054644","101"
"1","square-x","70","60","12","79.49029126213593","464"
"2","square-x","71","60","28","96.21781727044885","78"
"3","square-x","72","60","27","85.03557493688318","399"
"3","square-x","72","60","28","86.45190769933745","349"
"2","square-x","71","60","29","96.78888635846049","70"
"3","square-x","72","60","29","88.23395539371872","312"
"2","square-x","71","60","30","96.65536723163842","70"
"1","square-x","70","60","13","82.09533026857004","436"
"3","square-x","72","60","30","88.49457504520795","298"
"2","square-x","71","60","31","96.84755685656383","72"
"3","square-x","72","60","31","89.20798743549473","273"
"2","square-x","71","60","32","96.73524150268337","58"
"2","square-x","71","60","33","97.99459215863001","42"
"3","square-x","72","60","32","90.26905829596413","255"
"2","square-x","71","60","34","97.73745519713262","33"
"3","square-x","72","60","33","91.43805309734513","219"
"2","square-x","71","60","35","98.03264028616141","28"
"1","square-x","70","60","14","82.54580520732884","393"
"3","square-x","72","60","34","92.38556338028168","180"
"2","square-x","71","60","36","98.47738468428123","20"
"3","square-x","72","60","35","93.4190117438511","163"
"2","square-x","71","60","37","98.87564650326063","14"
"3","square-x","72","60","36","94.68556244464128","153"
"1","square-x","70","60","15","84.61538461538461","362"
"2","square-x","71","60","38","98.87589928057554","13"
"3","square-x","72","60","37","94.68715697036224","136"
"2","square-x","71","60","39","99.01256732495511","12"
"3","square-x","72","60","38","95.06281683932114","135"
"3","square-x","72","60","39","95.65407294169033","120"
"1","square-x","70","60","16","86.82207421503331","327"
"2","square-x","71","60","40","99.12516823687753","11"
"3","square-x","72","60","40","96.25272331154684","94"
"3","square-x","72","60","41","96.58599827139153","83"
"1","square-x","70","60","17","87.53501400560224","297"
"2","square-x","71","60","41","99.10253533767109","9"
"2","square-x","71","60","42","99.26042133572389","7"
"3","square-x","72","60","42","97.35930735930735","71"
"2","square-x","71","60","43","99.19354838709677","5"
"1","square-x","70","60","18","88.47583643122677","284"
"2","square-x","71","60","44","99.50639443571909","3"
"3","square-x","72","60","43","96.95931477516059","70"
"3","square-x","72","60","44","97.53536219459923","54"
"2","square-x","71","60","45","99.43958753642681","3"
"3","square-x","72","60","45","97.70114942528735","44"
"1","square-x","70","60","19","90.03014143287736","233"
"2","square-x","71","60","46","99.32795698924731","3"
"3","square-x","72","60","46","98.50171232876713","36"
"2","square-x","71","60","47","99.44096601073346","1"
"3","square-x","72","60","47","99.07922912205568","23"
"2","square-x","71","60","48","99.39651318730442","1"
"2","square-x","71","60","49","99.39651318730442","1"
"3","square-x","72","60","48","99.02065147966788","15"
"3","square-x","72","60","49","99.17056571671628","11"
"3","square-x","72","60","50","99.21343537414967","10"
"1","square-x","70","60","20","91.41414141414141","212"
"2","square-x","71","60","50","99.4632073361664","1"
"1","square-x","70","60","21","92.03378224149738","194"
"4","square-x","73","60","0","52.48264815803524","1222"
"4","square-x","73","60","1","53.916449086161876","1160"
"1","square-x","70","60","22","92.8326866012326","180"
"5","square-x","74","60","0","50.3565551289084","1213"
"5","square-x","74","60","1","54.167812929848694","1135"
"4","square-x","73","60","2","55.74368325084657","1130"
"5","square-x","74","60","2","55.82855582855583","1080"
"1","square-x","70","60","23","93.08005427408412","167"
"4","square-x","73","60","3","57.20512820512821","1097"
"5","square-x","74","60","3","55.94234430242045","1080"
"1","square-x","70","60","24","93.82438805299797","156"
"4","square-x","73","60","4","58.825051759834366","1049"
"5","square-x","74","60","4","58.27474310438075","1045"
"5","square-x","74","60","5","59.597855227882036","990"
"4","square-x","73","60","5","61.092587843036675","980"
"5","square-x","74","60","6","61.17489986648865","950"
"4","square-x","73","60","6","63.22824716267339","924"
"5","square-x","74","60","7","63.17053642914331","909"
"1","square-x","70","60","25","94.7214734950584","125"
"4","square-x","73","60","7","66.16329664704377","852"
"5","square-x","74","60","8","65.21739130434783","867"
"4","square-x","73","60","8","66.6078184110971","832"
"5","square-x","74","60","9","66.76331049024776","821"
"1","square-x","70","60","26","95.74898785425101","110"
"4","square-x","73","60","9","67.60598503740648","813"
"5","square-x","74","60","10","67.24811247071075","796"
"4","square-x","73","60","10","70.24608501118567","770"
"5","square-x","74","60","11","68.57822410147992","771"
"1","square-x","70","60","27","95.72251773049646","91"
"4","square-x","73","60","11","70.24608501118567","748"
"5","square-x","74","60","12","69.32707355242567","758"
"4","square-x","73","60","12","71.29400099157164","759"
"5","square-x","74","60","13","70.24275646045419","721"
"4","square-x","73","60","13","70.72195853110166","755"
"5","square-x","74","60","14","70.68920676202862","710"
"5","square-x","74","60","15","71.43968871595331","700"
"4","square-x","73","60","14","72.04433497536947","732"
"1","square-x","70","60","28","96.54095068065163","90"
"5","square-x","74","60","16","70.4727460604495","713"
"4","square-x","73","60","15","73.40109072880516","701"
"1","square-x","70","60","29","96.95013357079252","63"
"5","square-x","74","60","17","70.8451066015926","691"
"4","square-x","73","60","16","73.48336594911937","679"
"5","square-x","74","60","18","70.87954604075316","705"
"4","square-x","73","60","17","74.04692082111437","665"
"5","square-x","74","60","19","72.75077559462254","668"
"4","square-x","73","60","18","75.50920245398774","625"
"5","square-x","74","60","20","72.4006116207951","659"
"1","square-x","70","60","30","97.93379249055766","58"
"4","square-x","73","60","19","76.36671504596033","598"
"5","square-x","74","60","21","74.59375806035594","608"
"4","square-x","73","60","20","78.03988326848248","550"
"5","square-x","74","60","22","74.30268595041323","627"
"1","square-x","70","60","31","97.0969870244117","51"
"4","square-x","73","60","21","79.20792079207921","528"
"5","square-x","74","60","23","75.33129459734964","595"
"4","square-x","73","60","22","80.03894839337877","502"
"1","square-x","70","60","32","97.79346866725508","47"
"5","square-x","74","60","24","77.49163018284831","563"
"4","square-x","73","60","23","81.40933140933141","481"
"5","square-x","74","60","25","77.36089841755998","558"
"4","square-x","73","60","24","82.69641585568479","453"
"5","square-x","74","60","26","77.30478589420655","557"
"4","square-x","73","60","25","83.73537138762838","423"
"5","square-x","74","60","27","76.175","583"
"1","square-x","70","60","33","98.5170429393537","32"
"4","square-x","73","60","26","84.33201212403823","384"
"4","square-x","73","60","27","85.18002322880372","373"
"5","square-x","74","60","28","78.1699016889337","558"
"4","square-x","73","60","28","87.24988366682179","322"
"5","square-x","74","60","29","77.28518057285181","567"
"4","square-x","73","60","29","87.00906344410876","337"
"1","square-x","70","60","34","98.98207568046028","24"
"4","square-x","73","60","30","88.64739884393063","285"
"5","square-x","74","60","30","79.19395465994961","531"
"4","square-x","73","60","31","89.8150262617036","256"
"1","square-x","70","60","35","98.6334582323121","18"
"5","square-x","74","60","31","79.07439661607366","549"
"4","square-x","73","60","32","91.02096627164995","231"
"5","square-x","74","60","32","80.16528925619835","516"
"4","square-x","73","60","33","91.1221270842722","226"
"5","square-x","74","60","33","80.6905055487053","488"
"4","square-x","73","60","34","92.08389715832206","205"
"5","square-x","74","60","34","80.81854043392505","479"
"4","square-x","73","60","35","93.25084364454443","173"
"1","square-x","70","60","36","99.62389380530973","8"
"4","square-x","73","60","36","92.69700332963374","172"
"5","square-x","74","60","35","81.98019801980197","456"
"4","square-x","73","60","37","94.06647334374303","161"
"5","square-x","74","60","36","82.55613126079447","415"
"4","square-x","73","60","38","93.95224280294578","150"
"5","square-x","74","60","37","84.54118229037843","389"
"4","square-x","73","60","39","95.26245551601423","126"
"1","square-x","70","60","37","99.66880105983661","3"
"4","square-x","73","60","40","95.41528239202658","103"
"5","square-x","74","60","38","85.34609720176731","365"
"5","square-x","74","60","39","87.13592233009709","318"
"5","square-x","74","60","40","87.1949746315535","314"
"4","square-x","73","60","41","96.49667405764967","81"
"5","square-x","74","60","41","88.46341463414635","312"
"5","square-x","74","60","42","89.32948810382119","295"
"1","square-x","70","60","38","99.73533303925893","3"
"4","square-x","73","60","42","96.1335676625659","73"
"5","square-x","74","60","43","89.29249762583096","264"
"5","square-x","74","60","44","90.7177033492823","242"
"4","square-x","73","60","43","96.54261175952433","72"
"4","square-x","73","60","44","97.6012323943662","71"
"5","square-x","74","60","45","91.02079395085066","213"
"4","square-x","73","60","45","97.56151142355009","62"
"5","square-x","74","60","46","91.85446009389672","209"
"1","square-x","70","60","39","99.64742177170561","2"
"4","square-x","73","60","46","97.58064516129032","55"
"5","square-x","74","60","47","92.44034963382943","186"
"4","square-x","73","60","47","98.19211500762361","42"
"5","square-x","74","60","48","92.99601780276411","159"
"4","square-x","73","60","48","98.19800260529745","32"
"5","square-x","74","60","49","94.05569857243154","126"
"4","square-x","73","60","49","98.66812227074236","29"
"5","square-x","74","60","50","94.25636236282979","131"
"4","square-x","73","60","50","98.67362470102195","26"
"1","square-x","70","60","40","99.60343688037013","2"
"6","square-x","75","60","0","49.68707482993197","1280"
"7","square-x","76","60","0","49.83940042826552","1354"
"6","square-x","75","60","1","53.770222100356456","1154"
"7","square-x","76","60","1","52.700534759358284","1284"
"1","square-x","70","60","41","99.71340388007054","3"
"7","square-x","76","60","2","55.45262043409211","1228"
"6","square-x","75","60","2","57.8494623655914","1042"
"6","square-x","75","60","3","59.79520344920507","1000"
"7","square-x","76","60","3","54.391085168479705","1250"
"6","square-x","75","60","4","61.45751118126809","959"
"7","square-x","76","60","4","56.44562334217507","1201"
"1","square-x","70","60","42","99.66953073364178","2"
"6","square-x","75","60","5","63.05304010349288","909"
"7","square-x","76","60","5","56.16976683259104","1201"
"6","square-x","75","60","6","64.1955835962145","899"
"7","square-x","76","60","6","57.23701555496968","1177"
"6","square-x","75","60","7","64.14311641171895","894"
"1","square-x","70","60","43","99.6914940502424","3"
"7","square-x","76","60","7","58.38346848025111","1155"
"6","square-x","75","60","8","64.92133092597369","875"
"7","square-x","76","60","8","57.653717519938255","1172"
"6","square-x","75","60","9","66.19281468079608","840"
"7","square-x","76","60","9","58.242044861763176","1156"
"6","square-x","75","60","10","67.35751295336787","813"
"1","square-x","70","60","44","99.60369881109644","5"
"7","square-x","76","60","10","58.18942961800104","1161"
"6","square-x","75","60","11","68.82000520969002","767"
"7","square-x","76","60","11","57.900262467191595","1164"
"6","square-x","75","60","12","69.75435005117707","748"
"6","square-x","75","60","13","69.65250965250965","754"
"7","square-x","76","60","12","57.731688107114735","1170"
"6","square-x","75","60","14","70.2417695473251","748"
"7","square-x","76","60","13","57.030015797788316","1180"
"1","square-x","70","60","45","99.64788732394366","5"
"6","square-x","75","60","15","71.96261682242991","721"
"7","square-x","76","60","14","56.857661394866476","1195"
"6","square-x","75","60","16","73.31985851440122","668"
"7","square-x","76","60","15","56.93261037955074","1188"
"6","square-x","75","60","17","74.16014144986107","636"
"7","square-x","76","60","16","55.812122802414066","1216"
"6","square-x","75","60","18","76.25376128385155","606"
"1","square-x","70","60","46","99.69264544456641","2"
"7","square-x","76","60","17","56.76541232986389","1197"
"6","square-x","75","60","19","75.40614846288427","608"
"6","square-x","75","60","20","77.825","569"
"7","square-x","76","60","18","56.52289669861554","1217"
"6","square-x","75","60","21","77.56729810568295","571"
"7","square-x","76","60","19","56.21693121693122","1196"
"1","square-x","70","60","47","99.73643751372721","2"
"6","square-x","75","60","22","78.44698855151817","551"
"7","square-x","76","60","20","58.01307189542484","1177"
"6","square-x","75","60","23","78.69765190026628","543"
"7","square-x","76","60","21","57.67721684540936","1163"
"6","square-x","75","60","24","79.05899561189663","539"
"7","square-x","76","60","22","57.9942242058283","1170"
"6","square-x","75","60","25","81.19551681195517","468"
"6","square-x","75","60","26","82.76031434184677","463"
"7","square-x","76","60","23","59.46582875098193","1126"
"1","square-x","70","60","48","99.7148497477517","2"
"6","square-x","75","60","27","82.98391028766456","432"
"7","square-x","76","60","24","59.17729757875553","1151"
"6","square-x","75","60","28","83.40991535671101","424"
"7","square-x","76","60","25","59.64399574920297","1135"
"6","square-x","75","60","29","84.88372093023256","383"
"7","square-x","76","60","26","58.172826652785005","1151"
"6","square-x","75","60","30","85.8137301968315","363"
"6","square-x","75","60","31","86.27029608404968","348"
"1","square-x","70","60","49","99.73661106233538","2"
"7","square-x","76","60","27","58.9622641509434","1134"
"6","square-x","75","60","32","87.58014723343624","312"
"7","square-x","76","60","28","60.54545454545455","1115"
"6","square-x","75","60","33","88.71465906391067","275"
"1","square-x","70","60","50","99.80228471001757","0"
"7","square-x","76","60","29","60.80453842186694","1102"
"6","square-x","75","60","34","90.30732860520094","240"
"7","square-x","76","60","30","61.24352331606217","1090"
"6","square-x","75","60","35","92.19119734973971","219"
"7","square-x","76","60","31","61.224489795918366","1092"
"6","square-x","75","60","36","91.59229685298263","198"
"6","square-x","75","60","37","92.86887168660569","178"
"7","square-x","76","60","32","60.53312629399586","1114"
"6","square-x","75","60","38","93.52668213457078","161"
"7","square-x","76","60","33","59.02451747522171","1131"
"6","square-x","75","60","39","94.78442280945758","133"
"7","square-x","76","60","34","59.47341249354672","1140"
"6","square-x","75","60","40","95.31357684355616","101"
"6","square-x","75","60","41","96.01191840476736","92"
"7","square-x","76","60","35","58.874345549738216","1161"
"6","square-x","75","60","42","96.05232958457654","86"
"7","square-x","76","60","36","57.84236711180938","1173"
"6","square-x","75","60","43","96.63384474467598","81"
"6","square-x","75","60","44","96.60205245153935","83"
"7","square-x","76","60","37","58.53080568720379","1148"
"6","square-x","75","60","45","96.14778103176391","73"
"7","square-x","76","60","38","59.72838861321493","1118"
"6","square-x","75","60","46","97.39229024943312","55"
"7","square-x","76","60","39","58.488132094943246","1143"
"6","square-x","75","60","47","98.04767309875142","46"
"6","square-x","75","60","48","97.94628751974723","35"
"7","square-x","76","60","40","58.32894043226147","1150"
"6","square-x","75","60","49","98.1719702098849","33"
"7","square-x","76","60","41","56.911647651897056","1189"
"6","square-x","75","60","50","98.44419391206314","27"
"7","square-x","76","60","42","57.539994754786264","1195"
"7","square-x","76","60","43","57.05713540307853","1175"
"7","square-x","76","60","44","59.00959294788696","1127"
"7","square-x","76","60","45","57.7324973876698","1193"
"7","square-x","76","60","46","56.79141585972258","1211"
"7","square-x","76","60","47","55.311258278145694","1230"
"7","square-x","76","60","48","56.79560899111343","1186"
"7","square-x","76","60","49","57.05488621151271","1190"
"7","square-x","76","60","50","57.10152551288795","1185"
